Estimator,t,Estimand,Estimate,se,Truth,bias,MSE,coverage,upper,lower
contmle_c,4,s0,0.8895417306838224,0.014160024278948852,0.889479164882227,-6.25658015953545e-5,1.8022754305585672e-4,0.9631147540983607,0.9144175443137179,0.8627155889116149
contmle_c,4,s1,0.91557868787481,0.012541327736426211,0.9157177087794433,1.3902090463329604e-4,1.509737270090296e-4,0.9497950819672131,0.9388967441228134,0.8913297253443122
contmle_c,4,RD,-0.026036957190987597,0.01893608652935453,-0.02623854389721625,-2.0158670622865053e-4,3.1803837912324086e-4,0.9631147540983607,0.005864507340277839,-0.06166142166511354
contmle_c,4,RR,0.7753228666810384,0.15345436722434327,0.762591878090172,-0.012730988590866374,0.02170810215072093,0.9579918032786885,1.064674857983829,0.5150383431379455
contmle_c,4,SR,1.0294967240910073,0.021679513096234528,1.0294987729146983,2.048823690953387e-6,4.158746545618205e-4,0.9661885245901639,1.0708731493222312,0.9934921539339713
contmle_c,8,s0,0.778413224026349,0.018953307403396596,0.7777764668094218,-6.367572169272274e-4,3.130973823875558e-4,0.9559426229508197,0.8141753704134631,0.7434807571926947
contmle_c,8,s1,0.8264301355502182,0.017265110766528095,0.8259033618843683,-5.267736658499014e-4,3.0310075903193225e-4,0.9508196721311475,0.8593613393383274,0.7934071638491187
contmle_c,8,RD,-0.04801691152386917,0.025650050457127406,-0.048126895074946496,-1.0998355107732605e-4,5.968777938186232e-4,0.9487704918032787,0.0031582034474122445,-0.09684832038192773
contmle_c,8,RR,0.7882209728303017,0.1038587775186623,0.7834302497851431,-0.004790723045158618,0.010124952402689163,0.9569672131147541,1.0154905893012254,0.600822655556279
contmle_c,8,SR,1.0622185652855467,0.03415771656729773,1.0618775408214285,-3.41024464118113e-4,0.0010518899280155753,0.9477459016393442,1.1286561666051453,0.9960998473744355
contmle_c,12,s0,0.6745063642056868,0.021607168410377423,0.6745683511777302,6.198697204336325e-5,4.2310130066829175e-4,0.9590163934426229,0.7126417282556081,0.6339071605647995
contmle_c,12,s1,0.739842103904702,0.020189263088697722,0.7391604710920772,-6.816328126248177e-4,4.062023987369022e-4,0.9487704918032787,0.7794489347579248,0.7018390918111158
contmle_c,12,RD,-0.06533573969901517,0.029579338479541594,-0.06459211991434699,7.43619784668181e-4,8.49645338912423e-4,0.951844262295082,-0.008839405616940618,-0.12269097489093383
contmle_c,12,RR,0.8026075532204324,0.08222934272321666,0.8015186287255573,-0.0010889244948750923,0.006704371848989847,0.9385245901639344,0.9686539377669913,0.6474405095159608
contmle_c,12,SR,1.0979090808585679,0.04631509253460173,1.095753261773363,-0.0021558190852049982,0.002071251948262057,0.9590163934426229,1.1890490883885572,1.0122662208421473
contmle_c,16,s0,0.5816395794229556,0.023002217436549323,0.581883147751606,2.43568328650412e-4,4.816170362662003e-4,0.9661885245901639,0.6246090095256926,0.540098810533559
contmle_c,16,s1,0.658606920391566,0.022035423594593043,0.6579097430406853,-6.971773508807087e-4,5.027083553430586e-4,0.9508196721311475,0.7012657129625067,0.6168959625230639
contmle_c,16,RD,-0.07696734096861041,0.03185963471902582,-0.07602659528907929,9.407456795311207e-4,0.0010212584218247127,0.9477459016393442,-0.014790030367679105,-0.13887824057188886
contmle_c,16,RR,0.8184110491262478,0.06957900614730606,0.8181690240891951,-0.00024202503705274451,0.004985080921537097,0.9497950819672131,0.962195270414803,0.6900991767850244
contmle_c,16,SR,1.1339936177385623,0.05890340797038841,1.1306561215646918,-0.0033374961738706905,0.0034442321077046176,0.951844262295082,1.2502677504005448,1.024294614384667
contmle_c,20,s0,0.49946096021863895,0.025339448935707134,0.49990571734475375,4.4475712611480084e-4,6.311801178064884e-4,0.9477459016393442,0.5476971400968734,0.4479235415846881
